"","school_id","urban","community","student_id","class","points","cheating","warnings","notes","year","male","percentage","marz2"
"1",1500207,"urban","<U+0533><U+0561><U+057E><U+0561><U+057C>",3,3,27,"","","",2014,"female",0.28125,"urban"
"2",1800618,"urban","<U+0533><U+0575><U+0578><U+0582><U+0574><U+0580><U+056B>",16,6,40,"","","",2011,"female",0.333333333333333,"urban"
"3",1605202,"urban","<U+0531><U+056C><U+0561><U+057E><U+0565><U+0580><U+0564><U+056B>",6,4,55,"","","<U+0570><U+0561><U+057F><U+0578><U+0582><U+056F>",2013,"female",0.572916666666667,"urban"
"4",1400312,"urban","<U+054E><U+0561><U+0572><U+0561><U+0580><U+0577><U+0561><U+057A><U+0561><U+057F>",1,4,17,"","","",2012,"male",0.177083333333333,"urban"
"5",1502602,"rural","<U+0536><U+0578><U+056C><U+0561><U+0584><U+0561><U+0580>",31,7,40,"","","",2010,"female",0.333333333333333,"rural"
"6",1100303,"urban","<U+0531><U+0580><U+0561><U+0562><U+056F><U+056B><U+0580>",40,4,27,"","","",2019,"male",0.28125,"Yerevan"
"7",1100330,"urban","<U+0531><U+0580><U+0561><U+0562><U+056F><U+056B><U+0580>",28,4,11,"","","",2018,"male",0.114583333333333,"Yerevan"
"8",1402301,"rural","<U+0531><U+0580><U+0587><U+0561><U+0577><U+0561><U+057F>",31,7,54,"","","",2018,"female",0.45,"rural"
"9",1705104,"urban","<U+0549><U+0561><U+0580><U+0565><U+0576><U+0581><U+0561><U+057E><U+0561><U+0576>",12,3,14,"","","",2010,"male",0.145833333333333,"urban"
"10",1100706,"urban","<U+0544><U+0561><U+056C><U+0561><U+0569><U+056B><U+0561>",46,4,40,"","","",2011,"female",0.416666666666667,"Yerevan"
"11",1800616,"urban","<U+0533><U+0575><U+0578><U+0582><U+0574><U+0580><U+056B>",2,3,12,"","","",2014,"male",0.125,"urban"
"12",1100406,"urban","<U+0534><U+0561><U+057E><U+056B><U+0569><U+0561><U+0577><U+0565><U+0576>",67,3,52,"","","",2017,"female",0.541666666666667,"Yerevan"
"13",1502802,"rural","<U+053C><U+056B><U+0573><U+0584>",34,3,24,"","","",2014,"female",0.25,"rural"
"14",2105603,"urban","<U+053B><U+057B><U+0587><U+0561><U+0576>",28,6,59,"","","",2012,"female",0.491666666666667,"urban"
